Date;Open;High;Low;Close;Adj Close;Volume
21/09/2018;29.730.000;30.580.000;29.340.000;30.580.000;28.680.056;16301600
24/09/2018;30.379.999;30.700.001;29.500.000;29.730.000;27.882.866;13086900
25/09/2018;29.030.001;29.760.000;28.809.999;29.549.999;27.714.045;11742900
26/09/2018;29.650.000;29.969.999;29.209.999;29.450.001;27.620.264;12842400
27/09/2018;29.680.000;30.299.999;29.680.000;30.290.001;28.408.072;8767900
28/09/2018;29.830.000;29.980.000;29.299.999;29.450.001;27.620.264;12790900
01/10/2018;29.549.999;29.760.000;28.200.001;28.209.999;26.457.306;15677500
02/10/2018;29.700.001;31.559.999;29.650.000;31.430.000;29.477.245;32791500
03/10/2018;35.000.000;35.419.998;33.330.002;34.279.999;32.150.173;35336300
04/10/2018;33.680.000;35.880.001;33.520.000;35.119.999;32.937.988;27920000
05/10/2018;36.049.999;36.290.001;34.590.000;35.740.002;33.519.466;23667700
08/10/2018;40.500.000;40.750.000;38.570.000;39.200.001;36.764.488;41931900
09/10/2018;38.910.000;39.700.001;38.400.002;39.000.000;36.576.920;25385300
10/10/2018;38.200.001;38.200.001;37.119.999;37.349.998;35.029.430;20840800
11/10/2018;38.000.000;38.169.998;36.790.001;37.200.001;34.888.756;19067000
15/10/2018;37.919.998;38.439.999;37.410.000;37.720.001;35.376.446;13226100
16/10/2018;38.209.999;39.500.000;38.209.999;39.369.999;36.923.931;18196300
17/10/2018;38.779.999;39.740.002;38.610.001;39.709.999;37.242.809;16295800
18/10/2018;39.320.000;39.980.000;39.220.001;39.250.000;36.811.382;15863700
19/10/2018;39.830.002;39.860.001;39.160.000;39.580.002;37.120.888;9787200
22/10/2018;39.849.998;40.240.002;39.709.999;39.849.998;37.374.111;10089700
23/10/2018;39.240.002;40.189.999;39.110.001;39.990.002;37.505.405;13862900
24/10/2018;40.049.999;40.320.000;39.060.001;39.099.998;36.670.704;13813200
25/10/2018;39.650.002;40.349.998;39.410.000;40.099.998;37.608.574;14481500
26/10/2018;40.500.000;42.570.000;39.619.999;42.419.998;39.784.431;20575700
29/10/2018;42.959.999;43.400.002;41.240.002;41.869.999;39.268.604;36870500
30/10/2018;42.619.999;43.400.002;41.720.001;43.099.998;40.422.184;22364100
31/10/2018;43.450.001;43.599.998;41.619.999;42.750.000;40.093.929;12428600
01/11/2018;42.799.999;43.560.001;42.439.999;43.380.001;40.684.792;15709200
05/11/2018;43.549.999;43.590.000;42.720.001;43.410.000;40.712.925;10391700
06/11/2018;42.509.998;43.240.002;42.259.998;42.470.001;39.831.329;12087500
07/11/2018;42.779.999;43.080.002;40.860.001;41.450.001;38.874.702;11743000
08/11/2018;42.549.999;42.759.998;40.520.000;40.599.998;38.077.503;17319300
09/11/2018;40.500.000;41.770.000;39.730.000;41.500.000;38.921.589;12701700
12/11/2018;41.779.999;42.490.002;41.290.001;42.180.000;39.559.349;11014600
13/11/2018;42.250.000;42.630.001;41.529.999;41.700.001;39.109.169;11226800
14/11/2018;41.750.000;42.009.998;40.930.000;41.770.000;39.174.824;15645500
16/11/2018;42.080.002;43.099.998;41.830.002;43.090.000;40.412.804;14961700
19/11/2018;43.110.001;44.299.999;42.840.000;44.099.998;41.360.058;16046600
21/11/2018;43.500.000;44.099.998;43.270.000;44.000.000;41.266.270;12460100
22/11/2018;44.060.001;44.869.999;43.599.998;44.450.001;42.087.070;10627300
23/11/2018;45.000.000;45.790.001;44.709.999;44.799.999;42.418.472;14543200
26/11/2018;45.070.000;45.730.000;43.619.999;44.009.998;41.670.464;11379600
27/11/2018;44.049.999;45.400.002;43.650.002;45.049.999;42.655.178;13467400
28/11/2018;45.299.999;45.799.999;44.360.001;45.759.998;43.327.435;13240700
29/11/2018;45.400.002;45.910.000;44.970.001;45.240.002;42.835.083;9704000
30/11/2018;45.279.999;45.320.000;44.299.999;44.630.001;42.257.511;11265500
03/12/2018;45.599.998;45.599.998;44.049.999;44.099.998;41.755.684;12470500
04/12/2018;44.110.001;44.599.998;43.330.002;43.660.000;41.339.073;11076300
05/12/2018;43.849.998;44.169.998;43.419.998;44.099.998;41.755.684;4950700
06/12/2018;43.480.000;44.369.999;43.080.002;44.369.999;42.011.326;8255600
07/12/2018;44.360.001;44.930.000;43.810.001;44.029.999;41.689.404;7834000
10/12/2018;43.950.001;44.250.000;42.599.998;42.740.002;40.467.979;9518500
11/12/2018;43.299.999;43.549.999;42.480.000;42.990.002;40.704.689;9318100
12/12/2018;43.189.999;43.599.998;42.860.001;42.980.000;40.814.529;12471100
13/12/2018;43.000.000;44.250.000;42.639.999;44.080.002;41.859.112;8022000
14/12/2018;43.770.000;44.500.000;43.650.002;44.099.998;41.878.105;7105700
17/12/2018;44.049.999;44.529.999;43.509.998;43.700.001;41.498.257;6570700
18/12/2018;44.000.000;44.419.998;43.759.998;43.799.999;41.593.216;8036000
19/12/2018;44.000.000;44.700.001;43.799.999;43.799.999;41.593.216;7590900
20/12/2018;44.000.000;44.540.001;43.799.999;44.080.002;41.859.112;7741700
21/12/2018;44.060.001;44.750.000;43.730.000;44.090.000;41.868.610;13974100
26/12/2018;43.770.000;44.380.001;43.040.001;44.380.001;42.143.997;7378200
27/12/2018;44.279.999;45.119.999;44.070.000;45.119.999;42.846.710;7034400
28/12/2018;45.189.999;46.490.002;44.849.998;46.490.002;44.147.686;12985900
02/01/2019;46.200.001;49.700.001;46.090.000;48.599.998;46.151.379;14905300
03/01/2019;48.500.000;49.200.001;47.849.998;48.799.999;46.341.301;8879100
04/01/2019;48.080.002;49.830.002;47.919.998;48.799.999;46.341.301;8859200
07/01/2019;48.830.002;49.470.001;48.169.998;48.480.000;46.037.422;9393500
08/01/2019;48.599.998;49.049.999;46.830.002;47.930.000;45.515.137;14517300
09/01/2019;48.349.998;48.349.998;47.480.000;47.799.999;45.391.689;16718000
10/01/2019;47.450.001;48.810.001;47.150.002;48.500.000;46.056.419;10262600
11/01/2019;48.480.000;48.889.999;48.119.999;48.700.001;46.246.342;6877500
14/01/2019;48.700.001;49.830.002;48.500.000;49.830.002;47.319.408;8974400
15/01/2019;49.529.999;49.939.999;48.970.001;49.250.000;46.768.623;9243100
16/01/2019;49.349.998;49.419.998;48.669.998;48.779.999;46.322.315;6674700
17/01/2019;48.840.000;49.490.002;48.400.002;48.959.999;46.493.237;12979300
18/01/2019;49.009.998;49.430.000;48.549.999;48.549.999;46.103.893;13081700
21/01/2019;48.619.999;48.750.000;47.700.001;48.290.001;45.857.002;8299600
22/01/2019;48.400.002;48.919.998;47.930.000;48.200.001;45.771.530;10193300
23/01/2019;48.450.001;49.419.998;48.200.001;49.200.001;46.721.157;10197300
24/01/2019;49.189.999;49.570.000;48.750.000;48.950.001;46.483.742;9903400
28/01/2019;48.000.000;49.220.001;48.000.000;48.320.000;45.885.479;8400800
29/01/2019;49.000.000;49.930.000;48.590.000;49.930.000;47.414.371;12203700
30/01/2019;50.000.000;50.580.002;49.470.001;50.580.002;48.031.624;8550100
31/01/2019;51.000.000;52.750.000;50.889.999;51.860.001;49.247.128;15088300
01/02/2019;51.560.001;52.110.001;51.209.999;52.110.001;49.484.535;8604100
04/02/2019;51.720.001;53.459.999;51.299.999;53.099.998;50.424.656;7739600
05/02/2019;52.650.002;54.650.002;52.650.002;54.650.002;51.896.561;11426700
06/02/2019;53.849.998;53.919.998;51.320.000;51.320.000;48.734.337;16436900
07/02/2019;52.000.000;52.759.998;50.099.998;51.660.000;49.057.205;15667000
08/02/2019;51.549.999;52.759.998;50.910.000;51.730.000;49.123.669;10047300
11/02/2019;52.000.000;52.169.998;50.200.001;50.200.001;47.670.769;9468000
12/02/2019;50.820.000;53.470.001;50.799.999;53.290.001;50.605.080;18333100
13/02/2019;53.290.001;53.750.000;51.650.002;52.080.002;49.456.043;14744400
14/02/2019;53.200.001;54.980.000;52.080.002;54.740.002;51.982.029;27857700
15/02/2019;54.700.001;55.480.000;54.270.000;54.810.001;52.048.504;12532600
18/02/2019;54.360.001;54.779.999;53.529.999;54.270.000;51.535.706;8809400
